# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.4           	2.060543e-03	1.056185e-03	1.004357e-03	-2.467995e-05	4.050654e-04	-4.297454e-04	4.174054e-04	2.591395e-05	2.163570e-03	-2.626457e-22	2.163570e-03	-2.163570e-03
0.8           	2.209056e-03	1.124462e-03	1.084594e-03	-1.898452e-05	4.364063e-04	-4.553908e-04	4.458986e-04	1.993374e-05	2.319509e-03	-3.200955e-22	2.319509e-03	-2.319509e-03
1.2           	2.224517e-03	1.135362e-03	1.089155e-03	-2.200308e-05	4.386049e-04	-4.606080e-04	4.496065e-04	2.310323e-05	2.335743e-03	-3.256943e-22	2.335743e-03	-2.335743e-03
1.6           	2.219229e-03	1.135849e-03	1.083380e-03	-2.498520e-05	4.366588e-04	-4.616440e-04	4.491514e-04	2.623446e-05	2.330190e-03	-3.283438e-22	2.330190e-03	-2.330190e-03
2             	2.215831e-03	1.131295e-03	1.084537e-03	-2.226582e-05	4.368060e-04	-4.590718e-04	4.479389e-04	2.337912e-05	2.326623e-03	-3.295240e-22	2.326623e-03	-2.326623e-03
2.4           	2.213983e-03	1.126945e-03	1.087039e-03	-1.900279e-05	4.374194e-04	-4.564221e-04	4.469208e-04	1.995293e-05	2.324682e-03	-3.299823e-22	2.324682e-03	-2.324682e-03
2.8           	2.212964e-03	1.126089e-03	1.086875e-03	-1.867344e-05	4.373103e-04	-4.559838e-04	4.466470e-04	1.960711e-05	2.323613e-03	-3.302829e-22	2.323613e-03	-2.323613e-03
3.2           	2.212385e-03	1.127264e-03	1.085121e-03	-2.006788e-05	4.367714e-04	-4.568393e-04	4.468054e-04	2.107127e-05	2.323004e-03	-3.305742e-22	2.323004e-03	-2.323004e-03
3.6           	2.212038e-03	1.127955e-03	1.084083e-03	-2.089168e-05	4.364543e-04	-4.573460e-04	4.469001e-04	2.193626e-05	2.322640e-03	-3.307710e-22	2.322640e-03	-2.322640e-03
4             	2.211832e-03	1.127561e-03	1.084271e-03	-2.061454e-05	4.364979e-04	-4.571125e-04	4.468052e-04	2.164527e-05	2.322423e-03	-3.308282e-22	2.322423e-03	-2.322423e-03
4.4           	2.211711e-03	1.126933e-03	1.084778e-03	-2.007366e-05	4.366371e-04	-4.567108e-04	4.466739e-04	2.107735e-05	2.322297e-03	-3.307887e-22	2.322297e-03	-2.322297e-03
4.8           	2.211636e-03	1.126745e-03	1.084890e-03	-1.993104e-05	4.366644e-04	-4.565955e-04	4.466300e-04	2.092760e-05	2.322218e-03	-3.307420e-22	2.322218e-03	-2.322218e-03
